,stockiid,Booling,Unnamed: 2,追隨外資,Unnamed: 4,追隨投信,Unnamed: 6,KD 交叉,Unnamed: 8,MACD 交叉,Unnamed: 10,均線交叉,Unnamed: 12,type
85,3147,44.12%,12,301.63%,27,0.00%,0,75.43%,31,-11.88%,6,53.41%,28,資訊服務業
86,3152,296.11%,22,3.07%,127,-121.66%,76,175.61%,48,104.01%,14,52.10%,46,通信網路業
87,3162,47.83%,29,756.39%,56,0.00%,0,227.39%,48,113.47%,15,140.03%,43,電機機械
88,3163,137.44%,21,639.03%,135,-8.79%,2,127.17%,44,-14.17%,15,31.79%,47,通信網路業
89,3169,95.14%,21,291.04%,120,0.00%,0,98.65%,45,41.64%,16,75.63%,53,半導體業
90,3171,-77.64%,30,11.24%,3,0.00%,0,72.55%,46,54.10%,14,15.90%,39,貿易百貨
91,3176,378.07%,30,127.84%,72,0.00%,0,107.98%,50,79.79%,14,20.97%,45,生技醫療業
92,3178,79.66%,11,310.07%,21,0.00%,0,68.20%,23,23.73%,8,47.52%,18,電機機械
93,3188,-56.54%,35,45.63%,27,0.00%,0,64.93%,44,-42.39%,16,39.19%,44,建材營造
94,3191,73.74%,25,227.33%,30,0.00%,0,235.38%,49,20.67%,14,104.26%,41,電子零組件業
95,3202,-41.90%,22,1431.48%,155,0.00%,1,191.18%,45,17.77%,16,47.42%,45,電子零組件業
96,3205,149.64%,32,958.88%,121,0.00%,0,74.70%,48,-34.37%,15,-0.74%,45,生技醫療業
97,3206,74.10%,22,64.64%,117,0.00%,0,80.17%,49,49.50%,15,55.84%,50,電子零組件業
98,3207,251.22%,38,0.00%,0,0.00%,0,103.35%,46,38.47%,14,46.46%,39,電子零組件業
99,3211,124.90%,21,387.35%,183,0.00%,1,85.10%,48,35.49%,15,62.21%,43,電腦及週邊設備業
100,3213,-71.24%,21,185.83%,140,0.00%,0,65.85%,46,18.20%,18,46.19%,43,電腦及週邊設備業
101,3217,30.50%,19,307.06%,133,379.41%,48,146.34%,47,82.85%,16,134.61%,48,電子零組件業
102,3218,135.28%,15,1278.60%,135,352.48%,10,200.16%,45,145.52%,15,148.34%,49,生技醫療業
