,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1535,-107.44%,30,-160.82%,76,0.00%,0,37.82%,52,-47.05%,15,-4.68%,40
1536,71.36%,27,-229.82%,136,-269.56%,120,91.93%,51,1.69%,18,18.45%,44
1537,13.59%,17,1234.30%,247,-7.19%,16,44.76%,46,0.20%,19,0.89%,43
1538,-117.65%,32,-30.40%,23,0.00%,0,135.17%,46,57.68%,17,45.91%,46
1539,-2.76%,29,173.03%,59,0.00%,0,37.15%,47,-55.83%,15,17.74%,44
1540,-17.23%,19,86.37%,66,0.00%,0,37.99%,50,-8.51%,12,41.62%,41
1541,122.47%,26,-183.69%,49,-10.51%,1,148.49%,44,-5.31%,16,40.62%,47
1558,2.12%,30,-88.38%,127,-2.73%,3,-3.37%,56,-11.35%,18,9.50%,40
1560,74.15%,21,483.44%,152,198.91%,53,60.48%,48,-4.56%,18,19.77%,42
1568,-187.50%,26,100.88%,147,169.83%,15,56.97%,51,-12.62%,15,6.12%,55
1582,213.28%,29,-547.12%,182,-21.31%,2,85.17%,44,17.49%,14,-23.87%,36
1583,25.60%,19,-165.84%,32,0.00%,0,27.18%,51,-17.32%,19,57.84%,48
1587,27.21%,22,-10.91%,9,0.00%,0,14.17%,35,-15.42%,10,-0.53%,26
1589,35.10%,28,-388.11%,140,147.73%,31,133.89%,42,-55.83%,20,-20.91%,40
1590,83.88%,19,939.89%,157,470.31%,138,154.07%,49,66.46%,16,103.53%,46
1592,-338.68%,35,-119.31%,138,-106.49%,6,-13.07%,51,-56.61%,16,-41.99%,45
1598,16.94%,27,174.32%,104,-124.90%,17,88.58%,51,-9.24%,13,-22.50%,36
1603,70.17%,37,41.82%,51,0.00%,0,39.74%,46,17.16%,14,42.23%,42
1604,-70.76%,28,187.73%,143,1.71%,1,70.73%,51,-6.22%,13,-43.67%,39
1605,-20.50%,22,709.52%,148,0.88%,44,165.47%,42,-20.95%,16,-27.13%,40
1608,154.08%,21,147.09%,173,0.00%,0,92.30%,51,15.59%,18,35.23%,45
1609,111.48%,21,686.30%,179,-3.08%,9,175.01%,49,42.73%,17,110.41%,45
1611,123.34%,23,739.25%,185,1.25%,1,120.88%,43,8.04%,18,34.61%,41
1612,29.75%,25,202.62%,157,0.00%,0,84.49%,51,8.49%,16,25.16%,42
1614,74.58%,35,-31.98%,74,0.00%,0,61.09%,52,17.14%,13,60.81%,51
1615,136.08%,14,652.47%,48,0.00%,0,129.02%,44,30.62%,17,65.70%,39
